categoria,classificacao,groupId,max_similaridade,nomes,numero,pdfId_a,pdfId_b,tipo
,,,0.39,o anjo do senhor esta passeando | voce sabe o que e salvacao,069,,,numero_nomes_distintos
,,,0.30,o dia do senhor vira (o sol da justica) | preciosas sao as horas,070,,,numero_nomes_distintos
,,,0.23,"jesus viu a multidao (a multiplicacao) | vem, amado meu",071,,,numero_nomes_distintos
,,,0.45,"e preciso confiar e buscar a deus | tu es o cristo, filho do deus vivo",072,,,numero_nomes_distintos
,,,0.40,de eternidade a eternidade | deus esta no templo,073,,,numero_nomes_distintos
,,,0.34,"aquilo que melhor existe | sei, senhor",074,,,numero_nomes_distintos
,,,0.32,sente em tua face o rocar | voce sabe quem foi joao batista,075,,,numero_nomes_distintos
,,,0.21,jesus falou que o ceu e pra mim | nesta noite feliz,076,,,numero_nomes_distintos
,,,0.31,"vem, visita tua igreja | vou contar-vos de jesus",077,,,numero_nomes_distintos
,,,0.28,o senhor e a minha luz e a minha salvacao | uma voz mansa e delicada,078,,,numero_nomes_distintos
,,,0.29,deus ama voce | deus esta presente entre pecadores como nos,079,,,numero_nomes_distintos
,,,0.37,existe um lugar | vives muito alem do ceu,080,,,numero_nomes_distintos
,,,0.24,"grande deus, unico deus | quando ouvi jesus me chamar",081,,,numero_nomes_distintos
,,,0.12,cada instante | jesus vem nos buscar,082,,,numero_nomes_distintos
,,,0.26,foi no caminho para damasco | mais uma vez,083,,,numero_nomes_distintos
,,,0.35,"atende, senhor, a minha oracao | queres ser feliz",084,,,numero_nomes_distintos
,,,0.36,envia a tua luz | neste dia especial,085,,,numero_nomes_distintos
,,,0.55,em teu nome estamos | um dia morreu o meu jesus,086,,,numero_nomes_distintos
,,,0.28,meu pecado resgatado | o senhor e o bom pastor,087,,,numero_nomes_distintos
,,,0.18,das profundezas | vou contar para voce uma historia especial,088,,,numero_nomes_distintos
,,,0.28,"certo homem, principe dos judeus (nicodemos) | das profundezas clamo a ti, o senhor",089,,,numero_nomes_distintos
,,,0.40,"ele morreu, mas ressurgiu | em tuas maos, senhor",090,,,numero_nomes_distintos
,,,0.27,"jesus, a minhalma tem sede de ti | tenho algo pra voce",091,,,numero_nomes_distintos
,,,0.21,jesus cura e salva | pai celeste,092,,,numero_nomes_distintos
,,,0.40,jesus te ama | logo de manha,093,,,numero_nomes_distintos
,,,0.14,aquele que tem sede | bendita a hora de oracao,094,,,numero_nomes_distintos
,,,0.08,buscar-me-eis | do pao do ceu,095,,,numero_nomes_distintos
,,,0.28,com a minha voz clamo ao senhor | sonhei com jesus esta noite,096,,,numero_nomes_distintos
,,,0.37,buscou-me com ternura | jesus e o caminho,097,,,numero_nomes_distintos
,,,0.47,eu abri meu coracao | onde estaria eu,098,,,numero_nomes_distintos
,,,0.22,no meu coracao | um dia jesus achou - me,099,,,numero_nomes_distintos
,,,0.49,"ainda ha tempo | meu deus, meu pai | o sangue de jesus tem poder",1,,,numero_nomes_distintos
,,,0.66,"clama, o igreja | das profundezas (salmo 130) | vamos lavar as vestes | vamos lavar as vestes no sangue do cordeiro",10,,,numero_nomes_distintos
,,,0.29,cristo sente seu amor por mim | eu me lembro quando jesus me tocou | venho clamar,100,,,numero_nomes_distintos
,,,0.24,"no caminho, ele me guiara | vivi tao longe do senhor",104,,,numero_nomes_distintos
,,,0.27,haveremos de chegar | perdido foi que ele me encontrou,105,,,numero_nomes_distintos
,,,0.27,jesus cristo e o caminho | pela fe somos salvos,106,,,numero_nomes_distintos
,,,0.24,eu quero cantar | quando andava no mundo escravizado,107,,,numero_nomes_distintos
,,,0.25,hoje e um grande dia | israel saiu do egito,108,,,numero_nomes_distintos
,,,0.32,"a minha vida tao vazia | canta, alegremente, o filha de siao",109,,,numero_nomes_distintos
,,,0.46,"clamo a ti, meu senhor e pai (uma nova cancao) | reveste, senhor, teu povo | vai, moises (deixa meu povo ir)",11,,,numero_nomes_distintos
,,,0.68,entrega o teu caminho | o povo que andava em trevas viu uma grande luz | o povo que andava nas trevas,111,,,numero_nomes_distintos
,,,0.21,"consola-me, espirito santo | uma luz brilhou em meu caminho",112,,,numero_nomes_distintos
,,,0.22,"jesus, a luz divina | tua mao e poderosa",113,,,numero_nomes_distintos
,,,0.42,as riquezas do mundo | o senhor e quem cuida de mim,114,,,numero_nomes_distintos
,,,0.67,"gracas dou | gracas dou, o senhor | jesus, o bom pastor",115,,,numero_nomes_distintos
