categoria,classificacao,groupId,max_similaridade,nomes,numero,pdfId_a,pdfId_b,tipo
,,,0.19,atende a voz do meu clamor | viver e tao lindo,58,,,numero_nomes_distintos
,,,0.65,nos prostemos | nos prostremos aos seus pes,580,,,numero_nomes_distintos
,,,0.54,"pai de amor | pai de amor, gosto tanto de ti",581,,,numero_nomes_distintos
,,,0.54,o nome do meu senhor! | se orarmos ao senhor,59,,,numero_nomes_distintos
,,,0.60,es majestade | es majestade o rei da gloria,596,,,numero_nomes_distintos
,,,0.72,"jesus te entronizamos | jesus, te entronizamos aqui entre nos",599,,,numero_nomes_distintos
,,,0.34,"canta igreja, igreja fiel | jesus, o meu jesus | perdoa-me, senhor",6,,,numero_nomes_distintos
,,,0.38,"bem de manha, embora o ceu sereno | deus falou comigo | tudo esta pronto (a ceia)",60,,,numero_nomes_distintos
,,,0.27,"grande e o senhor, inclinai-vos | sei que na cruz seu sangue verteu | suba a minha oracao",61,,,numero_nomes_distintos
,,,0.39,e tao triste nao ver a luz (cego bastimeu) | no silencio da noite | ouco o som,62,,,numero_nomes_distintos
,,,0.26,"invoca-me e te responderei | me encontrava orfao (eu tenho um pai) (adocao) | tem bom animo, pobre pecador",63,,,numero_nomes_distintos
,,,0.31,brilhe sobre mim | eu vou contar uma historia (zaqueu) | qual foi o preco,64,,,numero_nomes_distintos
,,,0.31,a palavra de poder | onde nasceu jesus? | quando o dia amanhece,65,,,numero_nomes_distintos
,,,0.61,aleluia | aleluia (sl 113),653,,,numero_nomes_distintos
,,,0.40,de madrugada eu busca a face do senhor | jesus ira voltar! | nasceu um novo dia,66,,,numero_nomes_distintos
,,,0.31,maravilha e o amor de deus | nao ha deus como nosso deus | toca pela fe,67,,,numero_nomes_distintos
,,,0.66,"se paz, a mais doce | se paz, a mais doce sou feliz com jesus",670,,,numero_nomes_distintos
,,,0.42,la no cimo do monte | os olhos da fe | vem para o meio (aguas de salvacao),68,,,numero_nomes_distintos
,,,0.70,perfeito amor | perfeito amor eu conheci,685,,,numero_nomes_distintos
,,,0.50,o anjo do senhor esta passeando | tudo o que precisamos | voce sabe o que e salvacao?,69,,,numero_nomes_distintos
,,,0.83,ao deus de abraao | ao deus de abraao louvai,691,,,numero_nomes_distintos
,,,0.29,"cantarei a cristo! | e teu sangue, meu senhor jesus | nesta hora em oracao",7,,,numero_nomes_distintos
,,,0.30,"o dia do senhor vira (o sol da justica) | preciosas sao as horas | vem, sim, vem",70,,,numero_nomes_distintos
,,,0.83,"senhor se estivesses aqui | senhor, se estivesses aqui (lazaro)",704,,,numero_nomes_distintos
,,,0.52,desde mundo escravo fui (grandes coisas fez o senhor por nos) | deste mundo escravo fui,706,,,numero_nomes_distintos
,,,0.23,"celebrai | jesus viu a multidao (a multiplicacao) | vem, amado meu",71,,,numero_nomes_distintos
,,,0.49,"a vida tem tristezas mil (confia em deus) | e preciso confiar e buscar a deus | tu es o cristo, filho do deus vivo",72,,,numero_nomes_distintos
,,,0.41,"de eternidade a eternidade | deus esta no templo | e lindo, e lindo sim",73,,,numero_nomes_distintos
,,,0.40,"aquilo que melhor existe | eu te amo | sei, senhor",74,,,numero_nomes_distintos
,,,0.33,eu tenho um amigo | sente em tua face o rocar | voce sabe quem foi joao batista?,75,,,numero_nomes_distintos
,,,0.21,jesus falou que o ceu e pra mim | nesta noite feliz,76,,,numero_nomes_distintos
,,,0.30,"vem, visita a tua igreja | vou contar-vos de jesus",77,,,numero_nomes_distintos
,,,0.28,o senhor e a minha luz e a minha salvacao | uma voz mansa e delicada,78,,,numero_nomes_distintos
,,,0.35,deus ama voce | deus esta presente entre os pecadores como nos | o jordao eu nao passarei so,79,,,numero_nomes_distintos
,,,0.50,cante aleluia | diante do teu altar | pelo sangue de jesus,8,,,numero_nomes_distintos
,,,0.37,existe um lugar | suplica | vives muito alem do ceu,80,,,numero_nomes_distintos
,,,0.38,"ele e o senhor | grande deus, unico deus | quando ouvi jesus me chamar",81,,,numero_nomes_distintos
,,,0.44,cada instante | e veio a mim | jesus vem nos buscar,82,,,numero_nomes_distintos
,,,0.36,em meio a multidao | foi no caminho para damasco | mais uma vez,83,,,numero_nomes_distintos
,,,0.34,"atende, senhor, a minha oracao | o amigo incomparavel | queres ser feliz?",84,,,numero_nomes_distintos
,,,0.54,envia a tua luz | neste dia especial | perante a tua grandeza,85,,,numero_nomes_distintos
,,,0.44,em teu nome | lugar de oracao | um dia morreu o meu jesus,86,,,numero_nomes_distintos
,,,0.29,meu pecado resgatado | minha possessao eterna (junto a ti) | o senhor e o bom pastor,87,,,numero_nomes_distintos
,,,0.31,das profundezas | pes divinos | vou contar para voce uma historia especial,88,,,numero_nomes_distintos
,,,0.32,"certo homem, principe dos judeus (nicodemos) | das profundezas clamo a ti, o senhor! | rosa vermelha",89,,,numero_nomes_distintos
,,,0.33,"cidade eternal | dobro os meus joelhos | senhor, me chego a ti",9,,,numero_nomes_distintos
,,,0.40,"ele morreu, mas ressurgiu | em tuas maos, senhor | se tua alma alegre esta (canta aleluia)",90,,,numero_nomes_distintos
,,,0.42,"jesus, minh’alma tem sede de ti | tenho algo pra voce | teras vida em olhar pra jesus",91,,,numero_nomes_distintos
,,,0.39,jesus cura e salva | no ceu nao entra pecado | pai celeste,92,,,numero_nomes_distintos
,,,0.40,jesus te ama | logo de manha | ques sao estes de brancos vestidos?,93,,,numero_nomes_distintos
,,,0.33,ao nosso deus (apoc. 7.10) | aquele que tem sede | bendita seja a hora de oracao,94,,,numero_nomes_distintos
,,,0.27,buscar-me-eis | do pao do ceu | finda-se este dia,95,,,numero_nomes_distintos
,,,0.40,com a minha voz clamo ao senhor | ha um maior conosco | sonhei com jesus esta noite,96,,,numero_nomes_distintos
,,,0.37,buscou-me com ternura | jesus e o caminho | salmo 91,97,,,numero_nomes_distintos
,,,0.46,cantares 2 | eu abri meu coracao | onde estaria eu?,98,,,numero_nomes_distintos
,,,0.42,a salvacao | no meu coracao | um dia jesus achou-me,99,,,numero_nomes_distintos
Partitura,Avulsos Diversos,avulso:quem-sou-eu-senhor-vaso-de-alabastro,,,,QXZ1bHNvcy84NDcucGRm,QXZ1bHNvcy9EcExJQ00gLSBRdWVtIHNvdSBldSBTZW5ob3IgKFZhc28gZGUgQWxhYmFzdHJvKSAtIENPUk8ucGRm,duplicate_categoria
Partitura,Avulsos Diversos,avulso:sempre-imaginei-em-minha-vida,,,,QXZ1bHNvcy85MjAucGRm,QXZ1bHNvcy9EcExJQ00gLSBTZW1wcmUgSW1hZ2luZWkgZW0gTWluaGEgVmlkYSAtIENPUk8ucGRm,duplicate_categoria
Cifra,Avulsos Diversos,avulso:quem-sou-eu-senhor,,,,QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlVYVmxiU0J6YjNVZ1pYVWdVMlZ1YUc5eUwwTnBabkpoTG5Ca1pnPT0ucGRm,QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlVYVmxiU0J6YjNVZ1pYVXNJRk5sYm1odmNpOURhV1p5WVM1d1pHWT0ucGRm,duplicate_categoria
Cifra,Avulsos Diversos,avulso:vem-sim-vem,,,,QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlZtVnRJU0FvYzJsdExDQjJaVzBoS1M5RGFXWnlZUzV3WkdZPS5wZGY=,QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlZtVnRMQ0J6YVcwc0lIWmxiU0V2UTJsbWNtRXVjR1JtLnBkZg==,duplicate_categoria
Cifra,PES CIAs,avulso:esta-e-a-mensagem-eterna-de-deus,,,,QXZ1bHNvcy9Fc3RhIGUgYSBtZW5zYWdlbSBldGVybmEgZGUgRGV1cyAtIENpZnJhLnBkZg==,MDQxMTIwMjUvRXN0YSDDqSBhIG1lbnNhZ2VtIGV0ZXJuYSBkZSBEZXVzL0NpZnJhLnBkZg==,duplicate_categoria
Cifra,PES CIAs,avulso:esta-chegando-a-hora,,,,QXZ1bHNvcy9Fc3RhIGNoZWdhbmRvIGEgaG9yYSAtIENpZnJhLnBkZg==,MDQxMTIwMjUvRXN0w6EgY2hlZ2FuZG8gYSBob3JhL0NpZnJhLnBkZg==,duplicate_categoria
Partitura,Avulsos Diversos,avulso:aleluia-amem,,,,QXZ1bHNvcy8wNjgucGRm,MDYxMTIwMjUvQWxlbHVpYSwgQW3DqW0vUGFydGl0dXJhLnBkZg==,duplicate_categoria
Cifra,Avulsos Diversos,avulso:ha-esperanca,,,,QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlNNT2hJR1Z6Y0dWeVlXN0RwMkV2UTJsbWNtRXVjR1JtLnBkZg==,MDYxMTIwMjUvSMOhIEVzcGVyYW7Dp2EvQ2lmcmEucGRm,duplicate_categoria
Partitura,Avulsos Diversos,avulso:nos-estamos-aqui-exaltado,,,,QXZ1bHNvcy8zNTYucGRm,MDYxMTIwMjUvTsOzcyBlc3RhbW9zIGFxdWkgKEV4YWx0YWRvKS9QYXJ0aXR1cmEucGRm,duplicate_categoria
Partitura,PES,136:esta-paz-que-sinto-em-minh-alma,,,,QXZ1bHNvcy9QRVMtMTM2IC0gRXN0YSBQYXogUXVlIFNpbnRvIGVtIE1pbmgnQWxtYSAtIENvcm8ucGRm,MjAwMzIwMjYvRXN0YSBQYXogUXVlIFNpbnRvIGVtIE1pbmhfQWxtYS9Db3JvLnBkZg==,duplicate_categoria
Partitura,PES,283:o-mundo-nao-sabe,,,,QXZ1bHNvcy9QRVMtMjgzIC0gTyBNdW5kbyBOYW8gU2FiZS0gQ29yby5wZGY=,MjAwMzIwMjYvTyBNdW5kbyBOw6NvIFNhYmUvQ29yby5wZGY=,duplicate_categoria
